yandex	419148	31.46	161.9	1.48
unmapped	195776	23.96	315.0	3.18
mts	169849	32.98	98.0	1.36
adspector	34544	26.28	77.0	1.37
buzzoola	33372	29.30	99.0	2.42
rutube	23848	64.90	71.0	1.05
roxot	20651	35.13	79.0	1.55
astralab	18733	30.52	92.0	1.72
inlab	14029	33.84	79.0	1.38
yandex_go	12734	44.37	119.0	1.17
qbid	12369	28.47	69.0	1.23
newsletter	10565	15.75	293.0	2.63
streamingads	10221	42.71	97.0	1.27
avito-ads	9937	36.07	75.0	1.27
ozon	8994	42.25	133.0	1.47
yandexmarket	8207	42.84	141.0	1.64
cian	6102	38.51	151.9	1.79
wildberries	6007	45.25	95.0	1.25
move	5937	50.73	318.0	1.06
tbank	5515	53.71	70.0	1.19
novostroy-m	5476	24.36	161.0	1.54
adheads	5129	28.48	138.0	1.86
ya	2699	20.56	308.0	3.08
sms_newsletter	2377	15.99	226.0	2.57
trigger	2336	16.18	272.0	2.46
realty	1652	43.16	82.0	1.06
telegram	1352	15.46	270.0	2.71
pyaterochka	1334	37.18	115.0	1.49
novostroy_spb	1102	8.53	181.0	1.30
test	1077	100.00	1.0	1.00
novostroy-gid	1031	32.59	122.0	1.55
pronovostroiki	621	14.17	157.2	2.11
yd	525	99.62	2.0	1.00
mskguru	476	14.08	219.0	2.47
googlemybusiness	454	18.06	441.0	4.20
aviasales	342	51.75	154.0	1.41
plazkart	320	38.75	104.0	1.01
2gis	293	13.99	437.0	4.66
corp	286	9.44	378.0	5.29
ya_apartments	274	2.92	483.0	4.45
spbguru	257	18.68	204.0	1.96
polygraphy	254	18.11	426.0	2.91
chatgpt.com	188	13.83	369.0	3.11
pr_telegram	169	13.02	247.0	2.12
ya_maps	149	8.72	388.0	3.88
pikabu	139	100.00	0.0	1.00
tg	116	30.17	152.0	1.85
max	112	9.82	523.0	4.33
stroiki	86	2.33	194.0	1.37
sms_trigger	82	31.71	212.0	2.13
stroyka	80	15.00	673.0	2.33
poligraphy	47	12.77	307.0	2.40
vk	42	21.43	185.0	2.62
vkontakte	38	7.89	466.0	6.50
byyd	35	31.43	73.0	1.00
redlama	34	11.76	634.0	1.00
instagram_*	30	10.00	139.0	1.93
google	28	25.00	54.0	1.32
cbyltebcul	27	0.00	26.0	1.00
cian_kartochka_zhk	26	7.69	261.0	2.62
ig	23	8.70	263.0	4.17
parking	18	16.67	176.0	2.28
vkvideo	17	29.41	128.0	1.18
alfabank	16	31.25	141.0	1.88
youtube	16	56.25	61.0	1.25
ai_chat	15	20.00	726.0	3.27
vyborshik-site	15	13.33	415.0	1.53
yandex_rtb	15	40.00	43.0	1.07
solta	13	15.38	239.0	1.23
welcome	13	53.85	292.0	1.08
digitaltv_hybrid	11	63.64	15.0	1.00
perplexity	11	9.09	287.0	3.91
planbook	10	10.00	605.0	7.70
zabor	10	30.00	339.0	2.50
netmonet	9	22.22	144.0	4.11
rpl-matchtv	9	77.78	11.0	1.11
uznai.mos.ru	9	11.11	438.0	6.33
domclick	7	0.00	31.0	4.29
da	6	16.67	191.0	1.17
lbaefk	6	0.00	19.0	1.17
novostroy_gid	6	16.67	90.0	1.50
unisound	6	0.00	53.0	1.17
avito	6	33.33	148.0	2.00
geoadv_maps	5	0.00	865.0	4.60
rmn	5	60.00	44.0	1.00
yandex.zen	5	20.00	565.0	1.20
inst	4	25.00	514.0	2.25
rpl-sportbox	4	50.00	98.0	2.75
vk_ads	4	50.00	11.0	1.00
cxhub_newsletter	3	33.33	41.0	1.33
domyland	3	33.33	335.0	5.00
m2data	3	33.33	108.0	1.00
mobidriven	3	33.33	73.0	1.00
polypraphy	3	33.33	2046.0	12.00
smmhero.ru	3	0.00	48.0	1.00
yandex_realty	3	100.00	0.0	1.00
793	2	50.00	33.0	1.00
adqcfyf	2	100.00	2.0	1.00
akademicheskaya	2	0.00	1410.0	3.50
getintent	2	0.00	191.0	1.00
marketdelivery	2	50.00	91.0	1.50
mskguru.ru	2	50.00	437.0	2.00
otclick	2	100.00	0.0	1.00
realtraffic	2	100.00	0.0	1.00
rutube_web	2	100.00	0.0	1.00
samokat	2	0.00	624.0	1.00
sberseller	2	0.00	91.0	2.00
sp_perfluence	2	100.00	12.0	1.00
0plusmedia	1	0.00	182.0	1.00
email	1	0.00	188.0	2.00
followish	1	0.00	30.0	1.00
irn	1	100.00	0.0	1.00
ivi	1	0.00	15.0	1.00
jsprav	1	0.00	571.0	1.00
ls_criteo	1	0.00	275.0	1.00
office	1	100.00	8.0	1.00
ohmywishes	1	0.00	666.0	4.00
pr_media	1	0.00	223.0	3.00
sbol	1	100.00	4.0	1.00
vkads	1	0.00	5.0	2.00
yandex_direct	1	0.00	25.0	3.00
yandex_eda	1	0.00	86.0	2.00
