yandex	453770	26.71	173.3	1.48
unmapped	184007	22.19	321.0	3.21
mts	141318	26.53	125.0	1.48
adspector	130580	27.64	83.0	1.42
buzzoola	57486	24.79	73.0	1.85
rutube	25049	61.90	82.0	1.10
qbid	18076	27.82	86.0	1.32
avito-ads	13218	38.44	74.0	1.24
pronovostroiki	12750	17.87	97.2	1.25
plazkart	12403	52.79	98.0	1.10
novostroy-m	12276	25.99	141.0	1.43
roxot	12190	22.11	120.0	1.66
newsletter	12027	12.35	311.0	2.63
yandex_go	10525	49.18	105.0	1.15
solta	9582	23.87	97.0	2.35
move	9094	71.05	201.0	1.02
yandexmarket	8910	43.55	125.0	1.60
ozon	8537	48.86	104.0	1.38
streamingads	8525	47.12	96.0	1.06
adheads	6932	38.49	118.0	1.73
tbank	6658	48.20	121.0	1.40
793	6593	22.08	107.0	2.53
astralab	6533	26.94	106.0	1.83
telegram	5911	15.58	142.0	1.87
stroiki	5643	2.00	156.0	1.38
realty	5117	23.69	110.0	1.39
ya	3005	17.60	301.0	3.05
cian	2512	35.95	156.0	1.92
novostroy-gid	2303	16.72	142.0	1.84
sms_newsletter	2088	19.25	219.0	2.15
trigger	2062	15.32	256.0	2.48
test	707	99.86	1.0	1.00
mskguru	691	15.20	209.0	2.47
aviasales	429	34.73	294.0	3.26
pass24	376	56.12	76.0	1.08
2gis	372	12.37	360.0	4.10
googlemybusiness	324	16.05	282.0	3.81
netmonet	297	29.29	223.0	1.89
novostroy_spb	291	17.18	203.0	1.96
polygraphy	260	19.62	455.0	2.92
avito	229	35.81	73.0	1.06
ya_apartments	205	3.90	385.0	3.72
chatgpt.com	199	17.09	279.0	2.55
corp	197	8.63	352.0	4.90
ya_maps	131	9.16	417.0	4.21
spbguru	87	20.69	222.0	1.83
pr_telegram	83	14.46	246.0	2.82
vkads	83	21.69	169.0	2.12
vkvideo	77	42.86	167.0	1.18
sms_trigger	58	34.48	191.0	2.24
alfabank	55	50.91	132.0	1.98
inst	40	15.00	179.0	2.08
max	37	24.32	150.0	2.32
ig	34	8.82	236.0	3.56
redlama	34	20.59	281.0	1.00
stroyka	34	8.82	438.0	2.24
poligraphy	33	21.21	322.0	2.64
vyborshik-site	33	9.09	433.0	2.36
parking	32	43.75	185.0	1.84
vk	30	23.33	187.0	1.30
byyd	28	42.86	78.0	1.07
welcome	27	14.81	198.0	1.85
yandex_rtb	26	46.15	30.0	1.00
youtube	23	60.87	145.0	1.70
da	20	25.00	147.0	1.05
smm	20	0.00	474.0	1.70
cian_kartochka_zhk	19	5.26	431.0	3.84
zabor	18	5.56	320.0	2.89
cxhub_newsletter	16	18.75	79.0	1.81
google	14	42.86	30.0	1.64
pikabu	14	100.00	0.5	1.00
vkontakte	12	16.67	117.0	2.33
office	8	37.50	317.0	2.50
planbook	8	0.00	303.0	3.13
fontanka	6	0.00	1356.0	7.00
segmento	6	50.00	38.0	1.00
hyper	6	16.66	25.0	1.00
banner	5	20.00	317.0	3.00
followish	5	40.00	20.0	1.20
perplexity	5	0.00	403.0	3.20
samokat	5	60.00	28.0	1.20
unisound	5	20.00	20.0	1.00
m2data	4	50.00	1160.0	2.75
sberseller	4	25.00	33.0	1.50
vk_ads	4	0.00	31.0	1.00
yandex_eda	4	75.00	4.0	1.00
business_center_location	3	0.00	2124.0	12.00
ivi	3	33.33	392.0	1.67
metro	3	33.33	18.0	1.00
mindbox	3	33.33	36.0	2.00
ohmywishes	3	0.00	64.0	1.00
onetarget	3	0.00	68.0	1.00
762	2	50.00	14.0	1.50
clinics	2	50.00	294.0	1.00
domyland	2	0.00	388.0	2.00
getintent	2	0.00	256.0	1.00
i	2	0.00	16.0	1.00
instagram_*	2	50.00	7.0	1.00
mskguru.ru	2	0.00	332.0	4.50
novostroy_gid	2	50.00	31.0	1.00
rmn	2	50.00	775.0	1.00
rpl-sportbox	2	50.00	38.0	1.00
rutube_app	2	50.00	736.0	1.00
rutube_web	2	100.00	0.0	1.00
t	2	50.00	12.0	1.00
tg	2	0.00	15.0	1.00
wink	2	100.00	1.0	1.00
y	2	0.00	15.0	1.00
1006	1	0.00	181.0	1.00
390229622	1	100.00	0.0	1.00
469513097	1	100.00	5.0	1.00
830506892	1	100.00	1.0	1.00
923003523	1	100.00	0.0	1.00
avaho.ru	1	100.00	0.0	1.00
copilot.com	1	100.00	0.0	1.00
embed	1	0.00	242.0	1.00
gpmh	1	100.00	3.0	1.00
khl	1	100.00	7.0	1.00
kuper	1	0.00	16.0	1.00
mkb_app	1	100.00	0.0	1.00
novostroy_ru	1	0.00	172.0	8.00
pr_media	1	0.00	1018.0	3.00
protrener	1	0.00	1179.0	7.00
rbk	1	0.00	130.0	2.00
redllama	1	0.00	34.0	1.00
smmhero.ru	1	0.00	56.0	1.00
sms	1	0.00	550.0	4.00
sticker_bus	1	100.00	7.0	1.00
wildberries	1	0.00	17.0	1.00
